fips,pop,year,state
01,4779736,2010,Alabama
02,710231,2010,Alaska
04,6392017,2010,Arizona
05,2915918,2010,Arkansas
06,37253956,2010,California
08,5029196,2010,Colorado
09,3574097,2010,Connecticut
10,897934,2010,Delaware
11,601723,2010,District of Columbia
12,18801310,2010,Florida
13,9687653,2010,Georgia
15,1360301,2010,Hawaii
16,1567582,2010,Idaho
17,12830632,2010,Illinois
18,6483802,2010,Indiana
19,3046355,2010,Iowa
20,2853118,2010,Kansas
21,4339367,2010,Kentucky
22,4533372,2010,Louisiana
23,1328361,2010,Maine
24,5773552,2010,Maryland
25,6547629,2010,Massachusetts
26,9883640,2010,Michigan
27,5303925,2010,Minnesota
28,2967297,2010,Mississippi
29,5988927,2010,Missouri
30,989415,2010,Montana
31,1826341,2010,Nebraska
32,2700551,2010,Nevada
33,1316470,2010,New Hampshire
34,8791894,2010,New Jersey
35,2059179,2010,New Mexico
36,19378102,2010,New York
37,9535483,2010,North Carolina
38,672591,2010,North Dakota
39,11536504,2010,Ohio
40,3751351,2010,Oklahoma
41,3831074,2010,Oregon
42,12702379,2010,Pennsylvania
44,1052567,2010,Rhode Island
45,4625364,2010,South Carolina
46,814180,2010,South Dakota
47,6346105,2010,Tennessee
48,25145561,2010,Texas
49,2763885,2010,Utah
50,625741,2010,Vermont
51,8001024,2010,Virginia
53,6724540,2010,Washington
54,1852994,2010,West Virginia
55,5686986,2010,Wisconsin
56,563626,2010,Wyoming
